ITEM_SEQ,DRUG_NAME,COMPANY,CLASS_NAME,ETC_OTC_NAME,FORM_CODE,DRUG_SHAPE,COLOR_CLASS1,PRINT_FRONT,PRINT_BACK,MARK_CODE,CHART,IMAGE_URL,EE_DOC,UD_DOC,NB_DOC
200901575,행심연질캡슐(은행엽건조엑스),동화약품(주),기타의 순환계용약,OTC,"연질캡슐제, 현탁상",타원형,초록,D-W GT,,,진한갈색의 내용물이 든 녹색의 타원형 연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000009,,,
200901619,알룬정,(주)휴온스,따로 분류되지 않는 대사성 의약품,OTC,필름코팅정,타원형,분홍,HS1,,,분홍색의 장방형 필를코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800128,,,
200901620,미니메이드정(수출용),(주)넥스팜코리아,따로 분류되지 않는 대사성 의약품,OTC,필름코팅정,타원형,분홍,NK,,,분홍색의 장방형 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800131,,,
200901818,리버플란연질캡슐,(주)서흥,간장질환용제,OTC,"연질캡슐제, 현탁상",장방형,갈색,리버플란,,,황갈색의 내용물을 함유하는 암갈색의 장방형 연질캡슐제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800137,,,
200902147,에코닉신정(클로닉신리시네이트),화일약품(주),해열.진통.소염제,OTC,필름코팅정,원형,주황,ECX,,,주황색의 원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800158,,,
200902192,토넥스포르테캡슐,대우제약(주),기타의 중추신경용약,OTC,"경질캡슐제, 산제",장방형,빨강,TONEX-F 마크,,,엷은 홍색의 분말이 든 상·하부 적색의 경질캡슐제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706768099900101,,,
200902207,헤파라이프연질캡슐350mg(밀크시슬열매건조엑스),(주)테라젠이텍스,간장질환용제,OTC,"연질캡슐제, 현탁상",장방형,갈색,ETX H-L,,,황갈색의 유상 내용물을 함유한 암적색(검붉은 색)의 장방형 연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N9-UdVMReL,,,
200902212,비타마인연질캡슐,(주)알피바이오,기타의 비타민제,OTC,"연질캡슐제, 현탁상",장방형,초록,VITAMINE,,,황녹색의 내용물을 함유한 암녹색 장방형 연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800167,,,
200902301,그날엔정,경동제약(주),해열.진통.소염제,OTC,다층정,원형,"하양, 빨강",N KYUNG DONG,,,"상, 하층은 백색 내지 유백색이고 중간층은 적색 내지 연적색인 원형 필름코팅 삼중정제이며, 상,하층에 적색반점이 있을 수 있다.",https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700043,,,
200902328,자베스카캡슐100밀리그램(미글루스타트),(주)한국얀센,따로 분류되지 않는 대사성 의약품,ETC,"경질캡슐제, 산제",장방형,하양,OGT 918 100,,,"백색-미백색의 분말을 함유하는 상,하부 백색의 경질캡슐",https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O7UMSVD8I4,,,
200902364,이프렌에스연질캡슐(덱시부프로펜),삼진제약(주),해열.진통.소염제,OTC,"연질캡슐제, 액상",장방형,"청록, 투명",SJ DX,,,무색 내지 연한 청록색의 투명한 내용물이 든 연청록색의 투명한 장방형 연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1ONpCOpRdVF,,,
200902452,맥스비타플러스정,(유)한풍제약,혼합비타민제(비타민AD 혼합제제를 제외),OTC,필름코팅정,타원형,주황,GHT,,,주황색의 타원형 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400005,,,
